pecha id,language,url
I6378A767,en,https://github.com/OpenPecha/I6378A767
IFF601E58,de,https://github.com/OpenPecha/IFF601E58
IF843DDD2,es,https://github.com/OpenPecha/IF843DDD2
IA73DF3F8,fr,https://github.com/OpenPecha/IA73DF3F8
I45D3C3C3,it,https://github.com/OpenPecha/I45D3C3C3
IC6EC0AE1,nl,https://github.com/OpenPecha/IC6EC0AE1
I1DD1C01B,pt,https://github.com/OpenPecha/I1DD1C01B
I97343FD7,zh,https://github.com/OpenPecha/I97343FD7
I225B8528,bo,https://github.com/OpenPecha/I225B8528
